D A T E,KODEX 200,TIGER 코스닥150,TIGER 미국S&P500선물(H),TIGER 유로스탁스50(합성 H),ACE 일본Nikkei225(H),TIGER 차이나CSI300,KOSEF 국고채10년,KBSTAR 중기우량회사채,TIGER 단기선진하이일드(합성 H),KODEX 골드선물(H),TIGER 원유선물Enhanced(H),KODEX 인버스,KOSEF 미국달러선물,KOSEF 미국달러선물인버스,KOSEF 단기자금
2022-11-21,31480,10480,46095,13610,18650,9515,108190,100410,11825,11580,4455,4855,14335,8765,101975
2022-11-22,31255,10360,46060,13640,18885,9545,108155,100395,11765,11545,4455,4900,14345,8755,101980
2022-11-23,31465,10635,46625,13690,18885,9525,108080,100300,11865,11510,4515,4860,14295,8785,102000
2022-11-24,31760,10805,46960,13705,18990,9345,109365,100690,11900,11625,4330,4820,14050,8925,102050
2022-11-25,31630,10680,47005,13760,18840,9350,109460,100675,11915,11640,4365,4835,14010,8965,102075
2022-11-28,31245,10410,46585,13715,18925,9160,109575,100670,11925,11610,4150,4900,14185,8850,102090
2022-11-29,31600,10615,46330,13700,18805,9520,108995,100505,11855,11615,4365,4845,14045,8940,102095
2022-11-30,32075,10575,46130,13720,18735,9440,109170,100630,11855,11615,4380,4780,13955,9005,102105
2022-12-01,32265,10860,47555,13990,18920,9630,108980,100685,11875,11800,4460,4750,13760,9135,102150
2022-12-02,31545,10605,47355,13855,18595,9515,109755,100845,11985,11930,4495,4860,13770,9130,102190
2022-12-05,31445,10675,47285,13850,18630,9770,110035,100865,11980,11950,4475,4875,13690,9185,102235
2022-12-06,31045,10460,46505,13775,18675,9990,110430,100890,11905,11710,4320,4935,13950,8995,102250
2022-12-07,30870,10425,45850,13725,18510,9910,110470,100830,11825,11720,4155,4965,14005,8980,102245
2022-12-08,30870,10405,45730,13655,18465,9875,110375,100870,11845,11810,4065,4965,13970,9000,102285
2022-12-09,31230,10510,46190,13760,18715,9960,110550,100835,11955,11875,4010,4905,13790,9110,102295
2022-12-12,31035,10400,45715,13645,18670,9900,110640,100970,11970,11820,4005,4940,13855,9080,102305
2022-12-13,31010,10410,46435,13730,18735,9820,110400,100875,11970,11805,4130,4940,13790,9110,102315
2022-12-14,31360,10655,46905,13880,18835,9815,111145,101070,11955,11980,4175,4890,13720,9160,102325
2022-12-15,30840,10460,46510,13775,18645,9795,111185,101140,12055,11850,4245,4970,13810,9110,102365
2022-12-16,30695,10330,45285,13390,18465,9830,111570,101235,11995,11775,4195,4995,13835,9090,102375
2022-12-19,30700,10340,44800,13260,18115,9670,111300,101250,11945,11845,4155,5000,13815,9100,102395
